,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
0,Levain Bakery,H4jJ7XB3CetIr1pg56CczQ,New York,NY,Bakeries,40.7799404643263,-73.980282552649,$$,7769,4.5
1,The Halal Guys,xEnNFXtMLDF5kZDxfaCJgA,New York,NY,Food Stands,40.7617559582706,-73.979229927063,$,9252,4.0
2,Katz's Delicatessen,V7lXZKBDzScDeGB8JmnzSA,New York,NY,Delis,40.722237,-73.98743,$$,11698,4.0
3,Ippudo NY,44SY464xDHbvOcjDzRbKkQ,New York,NY,Ramen,40.73092,-73.99015,$$,9845,4.0
4,The Metropolitan Museum of Art,jVncyqXwlx_D9f2xZn05tg,New York,NY,Art Museums,40.779254271604,-73.9628841731528,0,2762,4.5
5,Central Park,xOw4aafJRji9XomGunlvcQ,New York,NY,Parks,40.782418740809,-73.9656022837641,0,2359,5.0
6,Bibble & Sip,WHRHK3S1mQc3PmhwsGRvbw,New York,NY,Coffee & Tea,40.76282,-73.98518,$,4591,4.5
7,Los Tacos No.1,jnEv25Y2DosTq2sNnvmC9g,New York,NY,Tacos,40.7425547,-74.0060838,$,2814,4.5
8,Burger & Lobster,UA2M9QFZghe-9th2KwLoWQ,New York,NY,Seafood,40.74007,-73.99344,$$,5275,4.0
9,LoveMama,jjJc_CrkB2HodEinB6cWww,New York,NY,Thai,40.7303859,-73.9860613,$$,4568,4.5
10,Best Bagel & Coffee,j1S3NUrkB3BVT49n_e76NQ,New York,NY,Bagels,40.7522683,-73.9910861,$,3070,4.5
11,Gramercy Tavern,veq1Bl1DW3UWMekZJUsG1Q,New York,NY,American (New),40.738527,-73.988417,$$$$,2817,4.5
12,Prince Street Pizza,zj8Lq1T8KIC5zwFief15jg,New York,NY,Pizza,40.7229087705545,-73.9944863319397,$,3119,4.5
13,The High Line,JION8hhg7q6zyayHYwhxIw,New York,NY,Parks,40.7479831752801,-74.0048906107511,0,2298,4.5
14,Doughnut Plant,lWOkeS-wV4no8qqA9OwwEg,New York,NY,Donuts,40.7163944930004,-73.9886098620298,$$,3173,4.5
15,Peter Luger,4yPqqJDJOQX69gC66YUDkA,Brooklyn,NY,Steakhouses,40.709945,-73.962478,$$$$,5530,4.0
16,National September 11 Memorial Museum,kViIWJFfAfWPpJOwAXBKGA,New York,NY,Museums,40.71144,-74.01301,0,1369,4.5
17,Thai Villa,B3_K2kUVbYOU0VaLcj_LTw,New York,NY,Thai,40.73902,-73.99065,$$,2878,4.5
18,Shake Shack,FEVQpbOPOwAPNIgO7D3xxw,New York,NY,Burgers,40.7414000197233,-73.98815019045,$$,5551,4.0
19,Clinton Street Baking Company,nU4XBdvxDABXqZ6CnB8Dig,New York,NY,Bakeries,40.721128,-73.983933,$$,4847,4.0
20,Le Bernardin,vRrVSB-LegwUwIxpkeRVtQ,New York,NY,French,40.761557,-73.981763,$$$$,2456,4.5
21,Two Little Red Hens,UGECJrPSWy0n7PXykBBWAQ,New York,NY,Bakeries,40.777528,-73.9517869,$$,2508,4.5
22,Brooklyn Bridge,mvn2XFJfIPNAlvsy-arzkA,Brooklyn,NY,Landmarks & Historical Buildings,40.7059677364821,-73.9966657489186,0,1323,4.5
23,Taiyaki NYC,vk7W3_sQwr7eZbRFsXv6rw,New York,NY,Ice Cream & Frozen Yogurt,40.71789,-73.9988,$,2756,4.5
24,Dominique Ansel Bakery,ga6sRtE0l85iftw_5-W84Q,New York,NY,Bakeries,40.72522,-74.00291,$$,4313,4.0
25,Buddakan,nI1UYDCYUTt23TpGxqnLKg,New York,NY,Chinese,40.7422762672197,-74.0048000961542,$$$,3859,4.0
26,Juliana's Pizza,ysqgdbSrezXgVwER2kQWKA,Brooklyn,NY,Pizza,40.7026153030093,-73.9934159993549,$$,2080,4.5
27,Amélie,ETgJqJHV7BW6pIr9Ox74sA,New York,NY,French,40.7327,-73.99766,$$,2562,4.5
28,Russ & Daughters,VrCCr45dhN-RRM107iptdg,New York,NY,Bagels,40.722589,-73.9882828294139,$$,2091,4.5
29,Joe's Shanghai,0CjK3esfpFcxIopebzjFxA,New York,NY,Shanghainese,40.7146691442891,-73.9977602206654,$$,5939,4.0
30,Club A Steakhouse,A_YpTLbAlEqeLVSs9bxbEA,New York,NY,Steakhouses,40.76006,-73.96557,$$$,2678,4.5
31,Jacob's Pickles,xt4sa64WOrpJvZBDPNPNYg,New York,NY,Comfort Food,40.7866504411994,-73.9755284786224,$$,3891,4.0
32,Eataly NYC Flatiron,a0IET3_yCFcO36OqGSsisg,New York,NY,Italian,40.74195877796,-73.989716662832,$$,5374,4.0
33,Chinatown Ice Cream Factory,o6q3jm-dU5A6nV3r2lBg9A,New York,NY,Ice Cream & Frozen Yogurt,40.715452,-73.99818,$,2675,4.0
34,Totto Ramen,QbAfrOxbuYKU248SDXHZEQ,New York,NY,Ramen,40.76444,-73.98759,$$,5345,4.0
35,Lombardi's Pizza,WIhm0W9197f_rRtDziq5qQ,New York,NY,Pizza,40.7215934960083,-73.9955956044561,$$,5962,4.0
36,Eleven Madison Park,nRO136GRieGtxz18uD61DA,New York,NY,American (New),40.7416907417333,-73.9872074872255,$$$$,2088,4.5
37,Ippudo Westside,TN4RnyqHMSupRFot4Q-_EA,New York,NY,Ramen,40.76344,-73.98661,$$,3568,4.0
38,Del Frisco's Double Eagle Steakhouse,b8a-8u_A51v2IzyjLVsx6w,New York,NY,Steakhouses,40.759412,-73.982221,$$$$,2863,4.5
39,Los Tacos No.1,SULHf6nGQ8sK0UpG1XU30w,New York,NY,Tacos,40.7575067,-73.9877717,$,1465,4.5
40,Spot Dessert Bar,ikazsJps1k-Br2FbunwCtg,New York,NY,Desserts,40.72939,-73.98892,$$,2872,4.0
41,Upstate,ehUuSk5gPTCQmwS_ubgKRA,New York,NY,Seafood,40.7263139141197,-73.9864901976935,$$,1783,4.5
42,Dough,P58WuRP1AGD9ruE2bZ2urw,Brooklyn,NY,Donuts,40.6890699083996,-73.9571077502625,$,1709,4.5
43,Grand Central Terminal,8HkB3JfIj7_g-MN5ujoRig,New York,NY,Landmarks & Historical Buildings,40.752793,-73.977165,0,1359,4.5
