,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
0,Girl & the Goat,qjnpkS8yZO8xcyEIy5OU9A,Chicago,IL,American (New),41.884176,-87.6479440725005,$$$,8406,4.5
1,Wildberry Pancakes and Cafe,cKZNbMvoqJaUe7n6lf6i7w,Chicago,IL,Pancakes,41.884668,-87.62288,$$,6924,4.5
2,Au Cheval,xoi7Cw7FoknAx5p880RtWQ,Chicago,IL,Bars,41.88466,-87.647668,$$,6750,4.5
3,The Purple Pig,boE4Ahsssqic7o5wQLI04w,Chicago,IL,Tapas/Small Plates,41.890694,-87.624782,$$,6942,4.0
4,Lou Malnati's Pizzeria,8vFJH_paXsMocmEO_KAa3w,Chicago,IL,Pizza,41.890357,-87.633704,$$,5869,4.0
5,Art Institute of Chicago,AkcZ1fUyB3RocKLYGFu20Q,Chicago,IL,Art Schools,41.8796,-87.623713,0,1763,4.5
6,Smoque BBQ,LPwAwxEjetjdNh7Uadro3g,Chicago,IL,Barbeque,41.95021,-87.72795,$$,4055,4.5
7,Alinea,pbEiXam9YJL3neCYHGwLUA,Chicago,IL,American (New),41.9134194160823,-87.6482384681229,$$$$,2126,4.5
8,Cafe Ba-Ba-Reeba!,y8jVBaHh8ntYkVqDXpsi1Q,Chicago,IL,Spanish,41.918984,-87.648687,$$,3920,4.0
9,Kuma's Corner - Belmont,pVPyt3TugMd8FW5LGznkQQ,Chicago,IL,Pubs,41.939640045166,-87.7004470825195,$$,4995,4.0
10,Bavette's Bar & Boeuf,apyIymDFbUK7u-Y3V5kmkA,Chicago,IL,Steakhouses,41.8892796234574,-87.6348227262497,$$$,2264,4.5
11,Little Goat Diner,-sdMTRmgExufOk6STZFi9w,Chicago,IL,Diners,41.8846460590586,-87.6484126982138,$$,4428,4.0
12,Quartino Ristorante,ziIfrqtyupmeNlPAOx6jTw,Chicago,IL,Italian,41.8934479679332,-87.6283662020996,$$,4531,4.0
13,Portillo's Hot Dogs,rp17Dfjdh7JR4GGZwj6nqg,Chicago,IL,Hot Dogs,41.89366,-87.63157,$,5299,4.0
14,Pequod's Pizzeria,DXwSYgiXqIVNdO9dazel6w,Chicago,IL,Pizza,41.92187,-87.664486,$$,5741,4.0
15,Crisp,WBU0yq9J8qiYQfI_fh2P1Q,Chicago,IL,Korean,41.9361214592879,-87.6444210345452,$$,3020,4.5
16,"Joe's Seafood, Prime Steak & Stone Crab",2tKMs0DbdxPSl2JeCJUEKw,Chicago,IL,Seafood,41.89186083,-87.62587283,$$$,2367,4.5
17,Xoco,jGiKIJCVLZHXQDSNnSLPsw,Chicago,IL,Mexican,41.890969,-87.630776,$$,3566,4.0
18,Molly's Cupcakes,ULEy88tbRkbwnDOOBdUCUQ,Chicago,IL,Desserts,41.9288051,-87.6425736,$$,2725,4.0
19,Sapori Trattoria,LYppbvgJlBG0SqjSKFiFGg,Chicago,IL,Italian,41.93166,-87.64859,$$,2126,4.5
20,Millennium Park,2DfcXGtDv7T_rnvl4lHzaQ,Chicago,IL,Parks,41.88339,-87.6218446,0,1203,4.5
21,Nini's Deli,F2NBch93KPaQdM_x0Fs2VQ,Chicago,IL,Sandwiches,41.89235,-87.66198,$,845,5.0
22,RPM Italian,bQaiow1WcwwSODUo9hHOMQ,Chicago,IL,Italian,41.8909608540557,-87.6300418625656,$$$,2973,4.0
